time,time_start,time_end,posterior,transition_type,value,optimal_split,X1,X1_squared,X2,X2_squared,X3,X3_squared
11,6.875,7.5,x=1.257: 1.000,no information,-0.8670256915155897,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
11,6.875,7.5,x=0.000: 0.400 | x=3.770: 0.600,no information,1.0218208089036385,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
11,6.875,7.5,x=0.000: 0.600 | x=3.770: 0.400,no information,0.8168091640759484,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
12,7.5,8.125,x=2.513: 1.000,no information,-0.154493831348104,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
12,7.5,8.125,x=1.257: 0.200 | x=5.027: 0.800,no information,-0.376583863116234,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
12,7.5,8.125,x=1.257: 0.400 | x=5.027: 0.600,no information,-0.09356692599698169,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
12,7.5,8.125,x=1.257: 1.000,no information,-1.1416457245364107,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
12,7.5,8.125,x=0.000: 0.400 | x=3.770: 0.600,no information,1.043192464882949,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
12,7.5,8.125,x=0.000: 0.600 | x=3.770: 0.400,no information,0.8325081851721894,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
13,8.125,8.75,x=2.513: 1.000,no information,-0.13752687386919193,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
13,8.125,8.75,x=1.257: 0.200 | x=5.027: 0.800,no information,0.10715562697918712,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
13,8.125,8.75,x=1.257: 0.400 | x=5.027: 0.600,no information,0.2736191657044251,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
13,8.125,8.75,x=1.257: 1.000,no information,-1.0361500910244996,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
13,8.125,8.75,x=0.000: 0.400 | x=3.770: 0.600,no information,1.43061584101376,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
13,8.125,8.75,x=0.000: 0.600 | x=3.770: 0.400,no information,1.250889841775742,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
14,8.75,9.375,x=2.513: 1.000,no information,-0.09669844540294374,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
14,8.75,9.375,x=1.257: 0.200 | x=5.027: 0.800,no information,0.9376222392652125,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
14,8.75,9.375,x=1.257: 0.400 | x=5.027: 0.600,no information,0.929200750496828,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
14,8.75,9.375,x=1.257: 1.000,no information,-0.7737889292404911,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
14,8.75,9.375,x=0.000: 0.400 | x=3.770: 0.600,no information,2.066668139393424,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
14,8.75,9.375,x=0.000: 0.600 | x=3.770: 0.400,no information,1.9623721690247375,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
15,9.375,10.0,x=2.513: 1.000,no information,-0.03155444144983449,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
15,9.375,10.0,x=1.257: 0.200 | x=5.027: 0.800,no information,1.6238506882761659,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
15,9.375,10.0,x=1.257: 0.400 | x=5.027: 0.600,no information,1.5405003469150877,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
15,9.375,10.0,x=1.257: 1.000,no information,-0.3421056265829816,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
15,9.375,10.0,x=0.000: 0.400 | x=3.770: 0.600,no information,2.5109931474869067,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
15,9.375,10.0,x=0.000: 0.600 | x=3.770: 0.400,no information,2.5316574108877434,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
16,10.0,10.625,x=2.513: 1.000,no information,0.05001379821288841,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
