trajectory,probability,time_index,time,node,norm_X,X1,X2,X3
0,0.2,0,0.0,p76,8.777083671441753e-17,8.326672684688674e-17,0.0,-2.7755575615628914e-17
0,0.2,1,0.625,p76,8.777083671441753e-17,8.326672684688674e-17,0.0,-2.7755575615628914e-17
0,0.2,2,1.25,p76,8.777083671441753e-17,8.326672684688674e-17,0.0,-2.7755575615628914e-17
0,0.2,3,1.875,p76,8.777083671441753e-17,8.326672684688674e-17,0.0,-2.7755575615628914e-17
0,0.2,4,2.5,p76,8.777083671441753e-17,8.326672684688674e-17,0.0,-2.7755575615628914e-17
0,0.2,5,3.125,p76,8.777083671441753e-17,8.326672684688674e-17,0.0,-2.7755575615628914e-17
0,0.2,6,3.75,p76,8.777083671441753e-17,8.326672684688674e-17,0.0,-2.7755575615628914e-17
0,0.2,7,4.375,p76,8.777083671441753e-17,8.326672684688674e-17,0.0,-2.7755575615628914e-17
0,0.2,8,5.0,p30,0.9406875189001803,-0.7823372105976002,0.5101834447767564,-0.11204619495844376
0,0.2,9,5.625,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,10,6.25,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,11,6.875,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,12,7.5,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,13,8.125,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,14,8.75,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,15,9.375,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,16,10.0,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,17,10.625,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,18,11.25,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,19,11.875,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,20,12.5,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
